REPRESENTATIVE,PARTY,STATE,VOTE,BILL,ROLLCALL,BILL_NAME,DATE,COMMITTEE
Adams,Democratic,North Carolina,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Aderholt,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Aguilar,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Allen,Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Allred,Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Amodei,Republican,Nevada,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Armstrong,Republican,North Dakota,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Arrington,Republican,Texas,NOT VOTING,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Auchincloss,Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Axne,Democratic,Iowa,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Babin,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bacon,Republican,Nebraska,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Baird,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Balderson,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Banks,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Barr,Republican,Kentucky,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Barragán,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bass,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Beatty,Democratic,Ohio,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bentz,Republican,Oregon,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bera,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bergman,Republican,Michigan,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Beyer,Democratic,Virginia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bice (OK),Republican,Oklahoma,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Biggs,Republican,Arizona,NAY,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bilirakis,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bishop (GA),Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bishop (NC),Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Blumenauer,Democratic,Oregon,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Blunt Rochester,Democratic,Delaware,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Boebert,Republican,Colorado,NAY,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bonamici,Democratic,Oregon,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bost,Republican,Illinois,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bourdeaux,Democratic,Georgia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bowman,Democratic,New York,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
"Boyle, Brendan F.",Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Brady,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Brooks,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Brown (MD),Democratic,Maryland,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Brown (OH),Democratic,Ohio,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Brownley,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Buchanan,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Buck,Republican,Colorado,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bucshon,Republican,Indiana,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Budd,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Burchett,Republican,Tennessee,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Burgess,Republican,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bush,Democratic,Missouri,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Bustos,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Butterfield,Democratic,North Carolina,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Calvert,Republican,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cammack,Republican,Florida,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carbajal,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cárdenas,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carey,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carl,Republican,Alabama,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carson,Democratic,Indiana,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carter (GA),Republican,Georgia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carter (LA),Democratic,Louisiana,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Carter (TX),Republican,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cartwright,Democratic,Pennsylvania,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Case,Democratic,Hawaii,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Casten,Democratic,Illinois,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Castor (FL),Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Castro (TX),Democratic,Texas,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cawthorn,Republican,North Carolina,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Chabot,Republican,Ohio,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cheney,Republican,Wyoming,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cherfilus-McCormick,Democratic,Florida,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Chu,Democratic,California,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cicilline,Democratic,Rhode Island,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Clark (MA),Democratic,Massachusetts,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Clarke (NY),Democratic,New York,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cleaver,Democratic,Missouri,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
Cline,Republican,Virginia,YEA,7791,218,Access to Baby Formula Act,05/18/22,Education and Labor
