BILL,REPRESENTATIVE,PARTY,VOTE,DATE,BILL_NAME,COMMITTEE,STATE
1319,Adams,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Aderholt,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AL
1319,Aguilar,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Allen,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Allred,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Amodei,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NV
1319,Armstrong,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,ND
1319,Arrington,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Auchincloss,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Axne,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IA
1319,Babin,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Bacon,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NE
1319,Baird,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Balderson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Banks,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Barr,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KY
1319,Barragán,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Bass,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Beatty,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Bentz,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OR
1319,Bera,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Bergman,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Beyer,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Bice (OK),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OK
1319,Biggs,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Bilirakis,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Bishop (GA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Bishop (NC),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Blumenauer,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OR
1319,Blunt Rochester,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,DE
1319,Boebert,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Bonamici,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OR
1319,Bost,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Bourdeaux,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Bowman,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,"Boyle, Brendan F.",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Brady,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Brooks,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AL
1319,Brown,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MD
1319,Brownley,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Buchanan,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Buck,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Bucshon,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Budd,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Burchett,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Burgess,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Bush,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Bustos,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Butterfield,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Calvert,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Cammack,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Carbajal,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Carl,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AL
1319,Carson,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Carter (GA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Carter (TX),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Cartwright,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Case,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,HI
1319,Casten,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Castor (FL),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Castro (TX),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Cawthorn,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Chabot,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Cheney,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WY
1319,Chu,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Cicilline,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,RI
1319,Clark (MA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Clarke (NY),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Cleaver,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Cline,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Cloud,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Clyburn,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,SC
1319,Clyde,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Cohen,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Cole,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OK
1319,Comer,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KY
1319,Connolly,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Cooper,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Correa,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Costa,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Courtney,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CT
1319,Craig,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Crawford,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AR
1319,Crenshaw,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Crist,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Crow,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CO
1319,Cuellar,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Curtis,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,UT
1319,Cárdenas,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Davids (KS),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,KS
1319,Davidson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,"Davis, Danny K.",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,"Davis, Rodney",Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IL
1319,DeFazio,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OR
1319,DeGette,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CO
1319,DeLauro,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CT
1319,DeSaulnier,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Dean,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,DelBene,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Delgado,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Demings,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,DesJarlais,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Deutch,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Diaz-Balart,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Dingell,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Doggett,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Donalds,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,"Doyle, Michael F.",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Duncan,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,SC
1319,Dunn,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Emmer,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Escobar,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Eshoo,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Espaillat,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Estes,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KS
1319,Evans,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Fallon,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Feenstra,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IA
1319,Ferguson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Fischbach,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Fitzgerald,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Fitzpatrick,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Fleischmann,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Fletcher,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Fortenberry,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NE
1319,Foster,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Foxx,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,"Frankel, Lois",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,"Franklin, C. Scott",Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Fudge,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Fulcher,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,ID
1319,Gaetz,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Gallagher,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Gallego,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Garamendi,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Garbarino,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Garcia (CA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Garcia (TX),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,García (IL),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Gibbs,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Gimenez,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Gohmert,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Golden,Democratic,NAY,2021-03-10,American Rescue Plan Act,Budget,ME
1319,Gomez,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,"Gonzales, Tony",Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Gonzalez (OH),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,"Gonzalez, Vicente",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Good (VA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Gooden (TX),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Gosar,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Gottheimer,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Granger,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Graves (LA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,LA
1319,Graves (MO),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Green (TN),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,"Green, Al (TX)",Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Greene (GA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Griffith,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,VA
1319,Grijalva,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Grothman,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Guest,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MS
1319,Guthrie,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KY
1319,Haaland,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NM
1319,Hagedorn,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MN
1319,Harder (CA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Harris,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MD
1319,Harshbarger,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,Hartzler,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MO
1319,Hastings,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,FL
1319,Hayes,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CT
1319,Hern,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OK
1319,Herrell,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NM
1319,Herrera Beutler,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Hice (GA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Higgins (LA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,LA
1319,Higgins (NY),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Hill,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,AR
1319,Himes,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CT
1319,Hinson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IA
1319,Hollingsworth,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IN
1319,Horsford,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NV
1319,Houlahan,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Hoyer,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MD
1319,Hudson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NC
1319,Huffman,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Huizenga,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Issa,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Jackson,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Jackson Lee,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Jacobs (CA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Jacobs (NY),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Jayapal,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Jeffries,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Johnson (GA),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,GA
1319,Johnson (LA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,LA
1319,Johnson (OH),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Johnson (SD),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,SD
1319,Johnson (TX),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,TX
1319,Jones,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Jordan,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Joyce (OH),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Joyce (PA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Kahele,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,HI
1319,Kaptur,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,OH
1319,Katko,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,NY
1319,Keating,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MA
1319,Keller,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Kelly (IL),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Kelly (MS),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,MS
1319,Kelly (PA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,PA
1319,Khanna,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Kildee,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,MI
1319,Kilmer,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WA
1319,Kim (CA),Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,Kim (NJ),Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NJ
1319,Kind,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,WI
1319,Kinzinger,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Kirkpatrick,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,AZ
1319,Krishnamoorthi,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,IL
1319,Kuster,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,NH
1319,Kustoff,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,TN
1319,LaHood,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,IL
1319,LaMalfa,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,CA
1319,LaTurner,Republican,NAY,2021-03-10,American Rescue Plan Act,Budget,KS
1319,Lamb,Democratic,YEA,2021-03-10,American Rescue Plan Act,Budget,PA
