Id,name,group,nodesize,degree,weighted_degree,closnesscentrality,pageranks,eigencentrality
0,html,6,272.45,6,321.216495,0.279006,0.008406,0.534254
1,css,6,341.17,14,657.901367,0.291066,0.019714,0.889624
2,hibernate,8,29.83,9,386.407448,0.243961,0.016369,0.154162
3,spring,8,52.84,9,423.832033,0.243961,0.016369,0.154162
4,ruby,3,70.14,2,117.156486,0.21308,0.005329,0.025245
5,ruby-on-rails,3,55.31,2,121.051421,0.21308,0.005329,0.025245
6,ios,4,87.46,6,339.622205,0.202,0.012726,0.05447
7,swift,4,63.62,4,250.951888,0.169179,0.00852,0.039887
8,html5,6,140.18,10,360.672603,0.264398,0.013898,0.703854
9,c,1,189.83,4,157.664585,0.216274,0.010236,0.047981
10,c++,1,268.11,4,158.537847,0.216274,0.010236,0.047981
11,asp.net,2,129.55,13,505.4198,0.278237,0.019045,0.614761
12,c#,2,321.13,14,489.82109,0.239336,0.022384,0.528388
13,objective-c,4,47.01,5,274.007719,0.194231,0.010539,0.048135
14,javascript,6,649.16,12,494.480785,0.29023,0.015917,0.866957
15,jquery,6,208.29,16,589.474925,0.326861,0.022048,1
16,redux,3,8.52,4,135.555818,0.203219,0.006702,0.128699
17,reactjs,3,59.03,8,326.284392,0.2525,0.011836,0.394734
18,php,6,361.22,10,440.810615,0.283708,0.013927,0.695202
19,mysql,6,165.43,11,321.070022,0.313665,0.016354,0.646587
20,spring-mvc,8,18,7,290.061041,0.216274,0.012825,0.131951
21,.net,2,75.08,8,269.128614,0.227991,0.01143,0.416523
22,react-native,3,13.61,3,109.174855,0.202811,0.005278,0.103587
23,spring-boot,8,12.37,3,147.890123,0.197266,0.005954,0.072862
24,less,6,9.73,3,106.809664,0.229025,0.004841,0.252003
25,sass,6,30.55,9,271.292732,0.263021,0.012272,0.667304
26,hadoop,10,17.95,2,81.45272,0.75,0.008554,0.00691
27,apache-spark,10,11.04,2,110.618631,0.75,0.008554,0.00691
28,sql-server,2,64.62,9,289.090643,0.231121,0.013029,0.4408
29,express,3,14.27,5,185.498697,0.248157,0.007959,0.228257
30,node.js,3,117.36,7,308.540061,0.251244,0.010642,0.327686
31,mongodb,3,50.95,8,264.265112,0.276712,0.013194,0.314249
32,iphone,4,15.29,4,175.872701,0.169179,0.00852,0.039887
33,github,5,12.71,1,56.202464,0.193487,0.003623,0.008146
34,git,5,54.48,4,134.083654,0.239336,0.01091,0.034916
35,excel,14,12.5,2,99.765986,1,0.008696,0.00591
36,excel-vba,14,11.38,2,104.121453,1,0.008696,0.00591
37,entity-framework,2,12.88,8,278.070354,0.229545,0.011241,0.433364
38,linq,2,8.32,7,212.812159,0.222467,0.009978,0.389037
39,wcf,2,12.73,8,273.556652,0.229545,0.011241,0.433364
40,wpf,2,19.38,6,203.343938,0.221978,0.008723,0.341155
41,android,4,229.86,3,124.42385,0.196117,0.007757,0.036757
42,java,8,610.65,8,248.490311,0.225951,0.015743,0.131413
43,scala,10,27.02,3,95.17522,1,0.012756,0.008493
44,ajax,6,35.41,7,210.529702,0.291908,0.010254,0.52791
45,django,1,40.91,3,114.731839,0.255051,0.007557,0.038079
46,python,1,438.67,7,201.755675,0.248157,0.017501,0.059428
47,vba,14,16.87,2,94.876967,1,0.008696,0.00591
48,xcode,4,11.37,4,173.117116,0.169179,0.00852,0.039887
49,apache,5,13.17,3,105.849221,0.287749,0.006654,0.099232
50,nginx,5,9.49,3,97.136793,0.258974,0.007056,0.042956
51,angularjs,6,126.59,13,370.711727,0.29023,0.019563,0.747279
52,asp.net-web-api,2,11.28,7,201.050393,0.253769,0.010262,0.413606
53,laravel,6,32.12,4,126.573605,0.243373,0.007508,0.200696
54,plsql,2,10.32,2,67.778957,0.18264,0.005059,0.031947
55,oracle,2,30.19,2,66.889119,0.18264,0.005059,0.031947
56,json,6,25.38,4,121.34819,0.277473,0.008069,0.190205
57,xml,6,23.77,1,42.721668,0.217672,0.003019,0.023125
58,flask,1,9.39,2,67.588015,0.223947,0.005571,0.020588
59,wordpress,6,46.74,6,173.440908,0.253133,0.009593,0.418851
60,java-ee,8,22.45,4,132.801054,0.209979,0.007626,0.095226
61,maven,8,10.3,5,157.355824,0.217672,0.01075,0.084469
62,jsp,8,13.78,4,115.704579,0.209979,0.007626,0.095226
63,bash,5,23.91,3,90.702138,0.226457,0.008131,0.030795
64,linux,5,108.54,10,266.757725,0.276712,0.024552,0.081377
65,angular2,7,18.79,2,64.912679,0.227477,0.00584,0.089077
66,typescript,7,17.53,2,69.916464,0.186347,0.00767,0.013672
67,codeigniter,6,18.71,6,166.711894,0.275956,0.009122,0.39429
68,tdd,12,9.45,1,37.14659,1,0.008696,0.001829
69,agile,12,12.22,1,37.14659,1,0.008696,0.001829
70,twitter-bootstrap,6,31.05,6,159.164961,0.25964,0.008419,0.546466
71,web-services,8,18.94,3,75.067232,0.221978,0.006179,0.065724
72,rest,8,27.08,5,128.680023,0.254408,0.010485,0.088981
73,testing,11,8.95,1,33.685943,1,0.008696,0.001829
74,selenium,11,12.7,1,33.685943,1,0.008696,0.001829
75,android-studio,4,14.79,1,33.661083,0.164228,0.003502,0.007633
76,redis,3,13.85,4,116.657153,0.25187,0.008371,0.075521
77,jenkins,9,10.02,4,106.683716,0.229025,0.010043,0.03538
78,docker,9,22.85,4,111.656287,0.222958,0.010985,0.025146
79,amazon-web-services,9,30.05,4,99.810159,0.229025,0.010327,0.046167
80,angular,7,29.09,1,31.036482,0.157321,0.004561,0.003577
81,osx,4,12.58,4,99.377833,0.230068,0.009413,0.046058
82,machine-learning,1,44.21,2,53.489471,0.2,0.006091,0.018425
83,qt,1,10.53,1,30.14466,0.178131,0.00348,0.009717
84,windows,5,19.71,3,71.046338,0.221978,0.008563,0.029411
85,ubuntu,5,11.98,1,29.894343,0.217204,0.003392,0.01697
86,ionic-framework,6,8.44,1,29.840446,0.225446,0.002583,0.0855
87,elasticsearch,3,10.82,2,49.577106,0.227991,0.004485,0.051098
88,vue.js,6,8.38,1,28.799897,0.196117,0.0029,0.023909
89,r,1,52.7,3,71.776378,0.200397,0.009389,0.02019
90,embedded,1,13.27,1,28.403648,0.178131,0.00348,0.009717
91,go,9,24.84,1,28.375406,0.18264,0.003639,0.006552
92,visual-studio,2,18.13,1,27.715543,0.193487,0.002663,0.06517
93,postgresql,3,39.03,6,145.020219,0.269333,0.01242,0.143071
94,sql,2,154.23,5,116.185988,0.222467,0.009439,0.204025
95,unix,5,15.67,1,25.357413,0.217204,0.003392,0.01697
96,eclipse,8,11.39,1,25.314659,0.179078,0.003132,0.014791
97,vb.net,2,23.56,3,70.685376,0.220524,0.005139,0.192577
98,unity3d,2,19.36,1,25.000233,0.193487,0.002663,0.06517
99,devops,9,9.81,3,73.140322,0.222467,0.007968,0.023212
100,drupal,6,8.25,1,24.919296,0.202405,0.002663,0.047255
101,shell,5,11.63,2,45.848858,0.217672,0.005696,0.024082
102,bootstrap,6,13.28,2,47.116467,0.248768,0.003672,0.211431
103,xamarin,2,11.18,1,24.673148,0.193487,0.002663,0.06517
104,azure,2,13.68,5,109.737397,0.239336,0.008564,0.247679
105,mvc,2,10.92,1,22.828412,0.218143,0.002549,0.073809
106,haskell,10,11.18,1,22.75744,0.6,0.004919,0.003765
107,api,8,8.61,1,22.175589,0.203219,0.003087,0.01466
108,twitter-bootstrap-3,6,10.13,2,43.31428,0.248157,0.003657,0.190551
109,regex,13,9.46,1,21.364078,1,0.008696,0.001829
110,perl,13,19.38,1,21.364078,1,0.008696,0.001829
111,cloud,9,10.66,1,21.318607,0.186691,0.003499,0.008619
112,photoshop,6,12.62,1,20.855721,0.225951,0.002501,0.099255
113,powershell,5,9.85,1,20.240691,0.181982,0.003731,0.006872
114,matlab,1,27.21,1,20.021933,0.167219,0.003965,0.005477
