,source,target,value
0,azure,.net,20.933192346640457
1,sql-server,.net,32.322524219339904
2,asp.net,.net,48.40702996199019
3,entity-framework,.net,24.37090250532431
4,wpf,.net,32.35092522005943
5,linq,.net,20.501743858149062
6,wcf,.net,28.074400427611117
7,c#,.net,62.167895042923824
8,tdd,agile,37.14658992420456
9,codeigniter,ajax,23.19190040565183
10,jquery,ajax,50.56672861589973
11,mysql,ajax,24.80008942291756
12,css,ajax,26.61371372468893
13,php,ajax,28.01067925660409
14,javascript,ajax,24.39914442262329
15,json,ajax,32.94744601093195
16,cloud,amazon-web-services,21.31860679884144
17,azure,amazon-web-services,21.30994959394633
18,devops,amazon-web-services,24.98353120101788
19,docker,amazon-web-services,32.198071014100535
20,ios,android,39.77803622570551
21,android-studio,android,33.661083176336234
22,java,android,50.984730766476574
23,android,android-studio,33.661083176336234
24,typescript,angular,31.03648178393663
25,typescript,angular2,38.87998222920348
26,angularjs,angular2,26.032697164489267
27,ionic-framework,angularjs,29.840445766924983
28,reactjs,angularjs,31.62020230471286
29,mongodb,angularjs,31.510711170360768
30,css,angularjs,22.210413043130057
31,sass,angularjs,20.42587841667116
32,twitter-bootstrap,angularjs,24.153685861107466
33,javascript,angularjs,39.37662666227728
34,express,angularjs,24.43382880528071
35,node.js,angularjs,47.56352702530362
36,jquery,angularjs,30.34794743352026
37,asp.net-web-api,angularjs,20.11309966430225
38,angular2,angularjs,26.032697164489267
39,html5,angularjs,23.082664020750425
40,nginx,apache,48.583173464083416
41,mysql,apache,29.097834547698525
42,linux,apache,28.16821301315872
43,scala,apache-spark,50.79184563415286
44,hadoop,apache-spark,59.82678558413366
45,rest,api,22.175589109335288
46,.net,asp.net,48.40702996199019
47,sql,asp.net,21.6722646057341
48,sql-server,asp.net,59.67328948689907
49,c#,asp.net,80.4485421720991
50,asp.net-web-api,asp.net,47.38627215537402
51,jquery,asp.net,28.723178220098205
52,entity-framework,asp.net,48.1136690894626
53,mvc,asp.net,22.82841216302881
54,azure,asp.net,23.76407299505805
55,wpf,asp.net,28.15902333873328
56,linq,asp.net,31.58127774617085
57,wcf,asp.net,40.95142172605998
58,vb.net,asp.net,23.711346281144564
59,asp.net,asp.net-web-api,47.38627215537402
60,azure,asp.net-web-api,21.585694763313093
61,c#,asp.net-web-api,26.748821548289044
62,angularjs,asp.net-web-api,20.11309966430225
63,sql-server,asp.net-web-api,25.67647418219353
64,wcf,asp.net-web-api,28.356535431019815
65,entity-framework,asp.net-web-api,31.18349509959109
66,.net,azure,20.933192346640457
67,c#,azure,22.14448701181891
68,asp.net-web-api,azure,21.585694763313093
69,asp.net,azure,23.76407299505805
70,amazon-web-services,azure,21.30994959394633
71,linux,bash,38.88811575032741
72,shell,bash,24.71706557378606
73,git,bash,27.09695712998492
74,jquery,bootstrap,22.40615464900445
75,css,bootstrap,24.71031260188158
76,c++,c,80.89104614147385
77,python,c,22.320432253935472
78,embedded,c,28.403647769064776
79,java,c,26.04945930410044
80,linq,c#,25.22293164314289
81,sql,c#,25.613903617043626
82,asp.net,c#,80.4485421720991
83,asp.net-web-api,c#,26.748821548289044
84,entity-framework,c#,30.728425581793207
85,vb.net,c#,25.185135956324604
86,.net,c#,62.167895042923824
87,sql-server,c#,45.91465123552504
