,number,title,classification,timestamp,latitude,longitude,month,year,state
0,1330,Report 1330: Motorist's sighting results in a collision.,Class A,1960-01-01 12:00:00,39.33292,-95.84024,1,1960,Kansas
1,1495,Report 1495: Man and wife in car see a sasquatch eating frogs on the road,Class A,1960-07-18 12:00:00,47.1305,-123.0966,7,1960,Washington
2,15610,Report 15610: Children see creature emerging from abandoned barn near Caruthersville.,Class A,1960-08-15 12:00:00,36.00565,-89.67815,8,1960,Tennessee
3,29549,Report 29549: Memory told of a possible daylight sighting while driving deer on a farm east of Iron River,Class B,1960-10-31 12:00:00,46.10294,-88.45181,10,1960,Michigan
4,30135,Report 30135: Man recalls encounter with 7 foot tall creature on grandparents farm,Class A,1960-11-04 12:00:00,32.96854,-85.02602,11,1960,Georgia
5,3582,"Report 3582: Hunters hear vocalization in a hollow off Route 2, near Lesage",Class B,1960-11-15 12:00:00,38.5464,-82.25949,11,1960,West Virginia
6,28678,Report 28678: Man recalls a possible up-close nighttime encounter on Gilchrist Island,Class B,1961-03-18 12:00:00,28.90854,-82.34611,3,1961,Florida
7,5232,Report 5232: Hunters have unusual late night experience near Willow Creek,Class B,1961-04-01 12:00:00,40.94083,-123.6283,4,1961,California
8,38547,Report 38547: Medical doctor recalls his daylight sighting as a teenager near Huntington,Class A,1961-06-15 12:00:00,38.35806,-82.43855,6,1961,West Virginia
9,12951,"Report 12951: Possible encounter between a juvenile and a human child, near Gettysburg",Class A,1961-07-01 12:00:00,39.76366,-77.27178,7,1961,Pennsylvania
10,6097,Report 6097: Man describes childhood sighting at rural property on the outskirts of Atlanta,Class A,1961-09-01 12:00:00,33.70037,-84.53352,9,1961,Georgia
11,7234,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,Class A,1961-10-15 12:00:00,34.88111,-91.08056,10,1961,Arkansas
12,26962,Report 26962: Childhood face to face encounter at dusk in the river bottoms of Bootheel,Class A,1961-10-15 12:00:00,36.06055,-89.98725,10,1961,Missouri
13,23531,"Report 23531: Woman tells of her husband's close encounter as a young man with ""The Hermit""  near Huntsville",Class B,1961-11-11 12:00:00,30.812,-95.75645,11,1961,Texas
14,1691,Report 1691: Tracks found in deep snow,Class B,1961-12-28 12:00:00,47.92528,-117.1153,12,1961,Washington
15,24238,Report 24238: Man recalls multi-witness sighting in teen years near Manistique,Class A,1962-04-01 12:00:00,45.964,-86.1437,4,1962,Michigan
16,9962,Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,Class A,1962-05-01 12:00:00,41.5,-111.75,5,1962,Utah
17,3651,"Report 3651: Sighting in the Audubon wildlife preserve, outside Aurora",Class A,1962-06-06 12:00:00,41.30265,-81.30896,6,1962,Ohio
18,25009,"Report 25009: Youngsters encounter large, grey creature in a sugar beet field",Class A,1962-08-14 12:00:00,37.475,-121.07,8,1962,California
19,445,Report 445: Boy Scouts have sighting while camping at Quednau Ranch,Class A,1962-08-15 12:00:00,27.0047,-82.0332,8,1962,Florida
20,30089,Report 30089: Memory told of a possible encounter while deer hunting east of Manistee,Class B,1962-11-15 12:00:00,44.1708,-86.10335,11,1962,Michigan
21,2309,Report 2309: 10-Ft. Shrieking Monster reported near Cold Springs,Class B,1963-01-27 12:00:00,38.1625,-120.0522,1,1963,California
