,State,year,BurnBndAc
69,California,2020,4528714
115,Idaho,2007,2157768
119,Idaho,2012,1719025
172,Nevada,1999,1659858
327,Wyoming,1988,1510922
67,California,2018,1507357
109,Idaho,2000,1319066
66,California,2017,1284213
57,California,2008,1266274
178,Nevada,2006,1212637
320,Washington,2015,1110427
154,Montana,2017,1107081
252,Oregon,2012,1036567
260,Oregon,2020,1025939
177,Nevada,2005,1010890
190,Nevada,2018,1004039
25,Arizona,2011,977413
217,New Mexico,2011,963481
242,Oregon,2002,953968
189,Nevada,2017,938896
56,California,2007,931355
34,Arizona,2020,858383
52,California,2003,837771
149,Montana,2012,836542
254,Oregon,2014,820722
19,Arizona,2005,778526
184,Nevada,2012,775666
105,Idaho,1996,749871
325,Washington,2020,744858
114,Idaho,2006,743664
64,California,2015,743419
158,Nevada,1985,741297
258,Oregon,2018,738252
179,Nevada,2007,735491
61,California,2012,734125
143,Montana,2006,721896
138,Montana,2000,696973
122,Idaho,2015,696881
141,Montana,2003,679305
37,California,1987,677612
257,Oregon,2017,661832
48,California,1999,626878
94,Colorado,2020,623904
55,California,2006,614561
144,Montana,2007,603891
102,Idaho,1992,601135
103,Idaho,1994,597457
124,Idaho,2017,593108
120,Idaho,2013,592454
129,Montana,1988,589706
169,Nevada,1996,583514
16,Arizona,2002,567253
255,Oregon,2015,559923
174,Nevada,2001,551328
117,Idaho,2010,550830
279,Utah,2007,545195
113,Idaho,2005,534106
173,Nevada,2000,526952
247,Oregon,2007,514366
237,Oregon,1996,514212
45,California,1996,504278
62,California,2013,501250
125,Idaho,2018,497150
35,California,1985,476966
63,California,2014,471054
65,California,2016,468954
269,Utah,1996,461134
96,Idaho,1986,451598
92,Colorado,2018,429176
212,New Mexico,2006,419038
246,Oregon,2006,407463
319,Washington,2014,397259
342,Wyoming,2012,395589
51,California,2002,388625
183,Nevada,2011,379001
311,Washington,2006,378213
79,Colorado,2002,376881
215,New Mexico,2009,366143
322,Washington,2017,365186
108,Idaho,1999,364246
284,Utah,2012,352120
218,New Mexico,2012,351485
58,California,2009,350844
323,Washington,2018,350593
31,Arizona,2017,337204
95,Idaho,1985,336968
289,Utah,2018,326340
206,New Mexico,2000,325401
118,Idaho,2011,323936
241,Oregon,2001,323556
123,Idaho,2016,318898
228,Oregon,1986,315285
305,Washington,2000,313236
317,Washington,2012,309879
227,Oregon,1985,300599
253,Oregon,2013,294034
332,Wyoming,2000,289088
240,Oregon,2000,282249
33,Arizona,2019,280592
291,Utah,2020,273068
224,New Mexico,2018,271942
42,California,1993,266386
349,Wyoming,2020,256203
98,Idaho,1988,253970
43,California,1994,250307
278,Utah,2006,249829
321,Washington,2016,249745
251,Oregon,2011,247072
208,New Mexico,2002,243391
127,Idaho,2020,241862
126,Idaho,2019,241505
40,California,1990,237554
157,Montana,2020,234941
152,Montana,2015,232693
209,New Mexico,2003,230083
274,Utah,2002,229946
345,Wyoming,2016,228689
214,New Mexico,2008,228646
188,Nevada,2016,221148
50,California,2001,219703
112,Idaho,2003,219089
330,Wyoming,1996,215234
68,California,2019,211911
97,Idaho,1987,211189
277,Utah,2005,205721
235,Oregon,1994,203712
18,Arizona,2004,196986
288,Utah,2017,196603
30,Arizona,2016,195664
200,New Mexico,1994,195466
301,Washington,1994,195043
312,Washington,2007,193703
336,Wyoming,2006,193571
87,Colorado,2012,192492
53,California,2004,188175
192,Nevada,2020,187748
104,Idaho,1995,185044
54,California,2005,180923
49,California,2000,180151
131,Montana,1991,174977
267,Utah,1994,174543
219,New Mexico,2013,174322
256,Oregon,2016,173525
10,Arizona,1996,173463
199,New Mexico,1993,172831
306,Washington,2001,172444
229,Oregon,1987,170704
9,Arizona,1995,168792
347,Wyoming,2018,168600
134,Montana,1994,168522
308,Washington,2003,165526
17,Arizona,2003,165368
28,Arizona,2014,160233
41,California,1992,159096
248,Oregon,2008,155449
272,Utah,2000,155125
167,Nevada,1994,151458
99,Idaho,1989,150794
302,Washington,1996,150593
38,California,1988,149837
121,Idaho,2014,149211
268,Utah,1995,143124
211,New Mexico,2005,142755
195,New Mexico,1989,140641
46,California,1997,139637
135,Montana,1996,138416
26,Arizona,2012,137928
324,Washington,2019,134929
23,Arizona,2009,127920
8,Arizona,1994,127729
232,Oregon,1990,127430
60,California,2011,125442
185,Nevada,2013,124557
145,Montana,2008,122729
243,Oregon,2003,122695
202,New Mexico,1996,122638
88,Colorado,2013,122174
139,Montana,2001,121997
318,Washington,2013,121055
90,Colorado,2016,112049
262,Utah,1986,111308
310,Washington,2005,106785
222,New Mexico,2016,105704
116,Idaho,2008,104758
110,Idaho,2001,102212
100,Idaho,1990,99988
150,Montana,2013,97586
148,Montana,2011,95298
140,Montana,2002,93989
338,Wyoming,2008,93436
83,Colorado,2008,92499
86,Colorado,2011,90357
346,Wyoming,2017,90147
29,Arizona,2015,90042
334,Wyoming,2002,89648
226,New Mexico,2020,89215
223,New Mexico,2017,87885
245,Oregon,2005,87395
47,California,1998,87155
230,Oregon,1988,86746
39,California,1989,86283
20,Arizona,2006,82528
32,Arizona,2018,82124
313,Washington,2008,81741
341,Wyoming,2011,80285
270,Utah,1998,79561
91,Colorado,2017,78771
22,Arizona,2008,78350
271,Utah,1999,78110
275,Utah,2003,76964
281,Utah,2009,75700
210,New Mexico,2004,75434
168,Nevada,1995,75099
107,Idaho,1998,73044
44,California,1995,72341
234,Oregon,1992,71709
77,Colorado,2000,71374
249,Oregon,2009,70582
231,Oregon,1989,68472
21,Arizona,2007,67586
27,Arizona,2013,67534
137,Montana,1999,66784
295,Washington,1988,66190
285,Utah,2013,66088
14,Arizona,2000,65329
186,Nevada,2014,65282
340,Wyoming,2010,64945
7,Arizona,1993,64916
203,New Mexico,1997,64295
194,New Mexico,1988,63732
201,New Mexico,1995,63200
130,Montana,1990,62722
59,California,2010,61990
273,Utah,2001,61165
304,Washington,1998,61024
315,Washington,2010,60991
180,Nevada,2008,60556
307,Washington,2002,60283
155,Montana,2018,59419
292,Washington,1985,59078
309,Washington,2004,59006
314,Washington,2009,58974
165,Nevada,1992,58842
142,Montana,2005,58731
159,Nevada,1986,56758
287,Utah,2016,55732
13,Arizona,1999,52754
276,Utah,2004,51672
259,Oregon,2019,50646
74,Colorado,1996,50159
171,Nevada,1998,49997
111,Idaho,2002,47523
236,Oregon,1995,47338
205,New Mexico,1999,46067
153,Montana,2016,45563
161,Nevada,1988,45289
250,Oregon,2010,44669
290,Utah,2019,44641
204,New Mexico,1998,44290
136,Montana,1998,44161
335,Wyoming,2003,43991
12,Arizona,1998,43881
198,New Mexico,1992,43775
191,Nevada,2019,43412
282,Utah,2010,42956
70,Colorado,1986,42671
4,Arizona,1989,41704
238,Oregon,1998,40793
15,Arizona,2001,40023
331,Wyoming,1999,38930
264,Utah,1988,38613
263,Utah,1987,38434
160,Nevada,1987,38401
337,Wyoming,2007,38215
36,California,1986,37453
329,Wyoming,1994,36799
196,New Mexico,1990,36781
283,Utah,2011,35802
147,Montana,2010,35504
5,Arizona,1990,34157
1,Arizona,1986,33225
343,Wyoming,2013,32995
348,Wyoming,2019,32679
207,New Mexico,2001,32352
166,Nevada,1993,30199
101,Idaho,1991,30104
294,Washington,1987,29896
265,Utah,1989,29468
299,Washington,1992,29267
216,New Mexico,2010,29076
225,New Mexico,2019,28446
333,Wyoming,2001,26912
72,Colorado,1993,26202
3,Arizona,1988,25103
213,New Mexico,2007,24613
24,Arizona,2010,24125
297,Washington,1990,23891
298,Washington,1991,23722
170,Nevada,1997,23032
181,Nevada,2009,22893
176,Nevada,2004,22281
233,Oregon,1991,22108
71,Colorado,1988,21721
156,Montana,2019,20885
146,Montana,2009,20723
89,Colorado,2014,20338
239,Oregon,1999,20059
220,New Mexico,2014,19080
221,New Mexico,2015,18848
328,Wyoming,1991,18825
75,Colorado,1998,18218
162,Nevada,1989,17297
93,Colorado,2019,17263
2,Arizona,1987,16758
80,Colorado,2004,15977
175,Nevada,2002,15830
128,Montana,1985,15660
0,Arizona,1985,14424
293,Washington,1986,14398
261,Utah,1985,14032
85,Colorado,2010,13959
73,Colorado,1994,13234
82,Colorado,2006,13126
84,Colorado,2009,12939
